address_id,address,city_id
140,788 Atinsk Street,211
141,1749 Daxian Place,29
142,1587 Sullana Lane,207
143,1029 Dzerzinsk Manor,542
144,1666 Beni-Mellal Place,123
145,928 Jaffna Loop,172
146,483 Ljubertsy Parkway,149
147,374 Bat Yam Boulevard,266
148,1027 Songkhla Manor,340
149,999 Sanaa Loop,491
150,879 Newcastle Way,499
151,1337 Lincoln Parkway,555
152,1952 Pune Lane,442
153,782 Mosul Street,94
154,781 Shimonoseki Drive,202
155,1560 Jelets Boulevard,291
156,1963 Moscow Place,354
157,456 Escobar Way,232
158,798 Cianjur Avenue,590
159,185 Novi Sad Place,72
160,1367 Yantai Manor,381
161,1386 Nakhon Sawan Boulevard,420
162,369 Papeete Way,187
163,1440 Compton Place,307
164,1623 Baha Blanca Manor,310
165,97 Shimoga Avenue,533
166,1740 Le Mans Loop,297
167,1287 Xiangfan Boulevard,253
168,842 Salzburg Lane,529
169,154 Tallahassee Loop,199
170,710 San Felipe del Progreso Avenue,304
171,1540 Wroclaw Drive,107
172,475 Atinsk Way,240
173,1294 Firozabad Drive,407
174,1877 Ezhou Lane,550
175,316 Uruapan Street,223
176,29 Pyongyang Loop,58
177,1010 Klerksdorp Way,186
178,1848 Salala Boulevard,373
179,431 Xiangtan Avenue,18
180,757 Rustenburg Avenue,483
181,146 Johannesburg Way,330
182,1891 Rizhao Boulevard,456
183,1089 Iwatsuki Avenue,270
184,1410 Benin City Parkway,405
185,682 Garden Grove Place,333
186,533 al-Ayn Boulevard,126
187,1839 Szkesfehrvr Parkway,317
188,741 Ambattur Manor,438
189,927 Barcelona Street,467
190,435 0 Way,195
191,140 Chiayi Parkway,506
192,1166 Changhwa Street,62
193,891 Novi Sad Manor,383
194,605 Rio Claro Parkway,513
195,1077 San Felipe de Puerto Plata Place,369
196,9 San Miguel de Tucumn Manor,169
197,447 Surakarta Loop,271
198,345 Oshawa Boulevard,204
199,1792 Valle de la Pascua Place,477
200,1074 Binzhou Manor,325
201,817 Bradford Loop,109
202,955 Bamenda Way,218
203,1149 A Corua (La Corua) Boulevard,194
204,387 Mwene-Ditu Drive,35
205,68 Molodetno Manor,575
206,642 Nador Drive,77
207,1688 Nador Lane,184
208,1215 Pyongyang Parkway,557
209,1679 Antofagasta Street,122
210,1304 s-Hertogenbosch Way,83
211,850 Salala Loop,371
212,624 Oshawa Boulevard,51
213,43 Dadu Avenue,74
214,751 Lima Loop,7
215,1333 Haldia Street,174
216,660 Jedda Boulevard,65
217,1001 Miyakonojo Lane,518
218,226 Brest Manor,508
219,1229 Valencia Parkway,498
220,1201 Qomsheh Manor,28
221,866 Shivapuri Manor,448
222,1168 Najafabad Parkway,251
223,1244 Allappuzha (Alleppey) Place,567
224,1842 Luzinia Boulevard,593
225,1926 Gingoog Street,511
226,810 Palghat (Palakkad) Boulevard,235
227,1820 Maring Parkway,324
228,60 Poos de Caldas Street,243
229,1014 Loja Manor,22
230,201 Effon-Alaiye Way,37
231,430 Alessandria Loop,439
232,754 Valencia Place,406
233,356 Olomouc Manor,26
234,1256 Bislig Boulevard,86
235,954 Kimchon Place,559
236,885 Yingkou Manor,596
237,1736 Cavite Place,216
238,346 Skikda Parkway,233
239,98 Stara Zagora Boulevard,96
240,1479 Rustenburg Boulevard,527
241,647 A Corua (La Corua) Street,357
242,1964 Gijn Manor,473
243,47 Syktyvkar Lane,118
244,1148 Saarbrcken Parkway,226
245,1103 Bilbays Parkway,578
246,1246 Boksburg Parkway,422
247,1483 Pathankot Street,454
248,582 Papeete Loop,294
249,300 Junan Street,553
250,829 Grand Prairie Way,328
251,1473 Changhwa Parkway,124
252,1309 Weifang Street,520
253,1760 Oshawa Manor,535
254,786 Stara Zagora Way,390
255,1966 Tonghae Street,198
256,1497 Yuzhou Drive,312
258,752 Ondo Loop,338
259,1338 Zalantun Lane,413
260,127 Iwakuni Boulevard,192
261,51 Laredo Avenue,342
262,771 Yaound Manor,64
263,532 Toulon Street,460
264,1027 Banjul Place,197
265,1158 Mandi Bahauddin Parkway,136
266,862 Xintai Lane,548
267,816 Cayenne Parkway,414
268,1831 Nam Dinh Loop,323
269,446 Kirovo-Tepetsk Lane,203
270,682 Halisahar Place,378
271,1587 Loja Manor,447
272,1762 Paarl Parkway,298
273,1519 Ilorin Place,395
274,920 Kumbakonam Loop,446
275,906 Goinia Way,255
276,1675 Xiangfan Manor,283
277,85 San Felipe de Puerto Plata Drive,584
278,144 South Hill Loop,445
279,1884 Shikarpur Avenue,263
280,1980 Kamjanets-Podilskyi Street,404
281,1944 Bamenda Way,573
282,556 Baybay Manor,374
283,457 Tongliao Loop,222
284,600 Bradford Street,514
285,1006 Santa Brbara dOeste Manor,389
286,1308 Sumy Loop,175
287,1405 Chisinau Place,411
288,226 Halifax Street,277
289,1279 Udine Parkway,69
290,1336 Benin City Drive,386
291,1155 Liaocheng Place,152
292,1993 Tabuk Lane,522
293,86 Higashiosaka Lane,563
294,1912 Allende Manor,279
295,544 Tarsus Boulevard,562
296,1936 Cuman Avenue,433
297,1192 Tongliao Street,470
298,44 Najafabad Way,146
299,32 Pudukkottai Lane,140
300,661 Chisinau Lane,274
301,951 Stara Zagora Manor,400
302,922 Vila Velha Loop,9
303,898 Jining Lane,387
304,1635 Kuwana Boulevard,205
305,41 El Alto Parkway,398
306,1883 Maikop Lane,254
307,1908 Gaziantep Place,536
308,687 Alessandria Parkway,455
309,827 Yuncheng Drive,99
310,913 Coacalco de Berriozbal Loop,33
311,715 So Bernardo do Campo Lane,507
312,1354 Siegen Street,25
313,1191 Sungai Petani Boulevard,262
314,1224 Huejutla de Reyes Boulevard,91
315,543 Bergamo Avenue,215
316,746 Joliet Lane,286
317,780 Kimberley Way,515
318,1774 Yaound Place,166
319,1957 Yantai Lane,490
320,1542 Lubumbashi Boulevard,57
321,651 Pathankot Loop,336
322,1359 Zhoushan Parkway,545
323,1769 Iwaki Lane,97
324,1145 Vilnius Manor,451
325,1892 Nabereznyje Telny Lane,516
326,470 Boksburg Street,81
327,1427 A Corua (La Corua) Place,45
328,479 San Felipe del Progreso Avenue,130
329,867 Benin City Avenue,591
330,981 Kumbakonam Place,89
331,1016 Iwakuni Street,269
332,663 Baha Blanca Parkway,5
333,1860 Taguig Loop,119
334,1816 Bydgoszcz Loop,234
335,587 Benguela Manor,42
336,430 Kumbakonam Drive,457
337,1838 Tabriz Lane,143
338,431 Szkesfehrvr Avenue,48
339,503 Sogamoso Loop,505
340,507 Smolensk Loop,492
341,1920 Weifang Avenue,427
342,124 al-Manama Way,382
343,1443 Mardan Street,392
344,1909 Benguela Lane,581
345,68 Ponce Parkway,201
346,1217 Konotop Avenue,151
347,1293 Nam Dinh Way,84
348,785 Vaduz Street,335
349,1516 Escobar Drive,370
350,1628 Nagareyama Lane,453
351,1157 Nyeri Loop,320
352,1673 Tangail Drive,137
353,381 Kabul Way,209
354,953 Hodeida Street,221
355,469 Nakhon Sawan Street,531
356,1378 Beira Loop,597
357,1641 Changhwa Place,52
358,1698 Southport Loop,393
359,519 Nyeri Manor,461
360,619 Hunuco Avenue,331
361,45 Aparecida de Goinia Place,464
362,482 Kowloon and New Kowloon Manor,90
363,604 Bern Place,429
364,1623 Kingstown Drive,20
365,1009 Zanzibar Lane,32
366,114 Jalib al-Shuyukh Manor,585
367,1163 London Parkway,66
368,1658 Jastrzebie-Zdrj Loop,372
369,817 Laredo Avenue,188
370,1565 Tangail Manor,377
371,1912 Emeishan Drive,50
372,230 Urawa Drive,8
373,1922 Miraj Way,356
374,433 Florencia Street,250
375,1049 Matamoros Parkway,191
376,1061 Ede Avenue,98
377,154 Oshawa Manor,415
378,1191 Tandil Drive,523
379,1133 Rizhao Avenue,572
380,1519 Santiago de los Caballeros Loop,348
381,1618 Olomouc Manor,285
382,220 Hidalgo Drive,265
383,686 Donostia-San Sebastin Lane,471
384,97 Mogiljov Lane,73
385,1642 Charlotte Amalie Drive,549
386,1368 Maracabo Boulevard,493
387,401 Sucre Boulevard,322
388,368 Hunuco Boulevard,360
389,500 Lincoln Parkway,210
390,102 Chapra Drive,521
391,1793 Meixian Place,258
392,514 Ife Way,315
393,717 Changzhou Lane,104
394,753 Ilorin Avenue,157
395,1337 Mit Ghamr Avenue,358
396,767 Pyongyang Drive,229
397,614 Pak Kret Street,6
398,954 Lapu-Lapu Way,278
399,331 Bydgoszcz Parkway,181
400,1152 Citrus Heights Manor,15
401,168 Cianjur Manor,228
402,616 Hagonoy Avenue,39
403,1190 0 Place,44
404,734 Bchar Place,375
405,530 Lausanne Lane,135
406,454 Patiala Lane,276
407,1346 Mysore Drive,92
408,990 Etawah Loop,564
409,1266 Laredo Parkway,380
410,88 Nagaon Manor,524
411,264 Bhimavaram Manor,111
412,1639 Saarbrcken Drive,437
413,692 Amroha Drive,230
414,1936 Lapu-Lapu Parkway,141
415,432 Garden Grove Street,430
416,1445 Carmen Parkway,117
417,791 Salinas Street,208
418,126 Acua Parkway,71
419,397 Sunnyvale Avenue,19
420,992 Klerksdorp Loop,23
421,966 Arecibo Loop,134
422,289 Santo Andr Manor,16
423,437 Chungho Drive,450
424,1948 Bayugan Parkway,264
425,1866 al-Qatif Avenue,155
426,1661 Abha Drive,416
427,1557 Cape Coral Parkway,293
428,1727 Matamoros Place,465
429,1269 Botosani Manor,468
430,355 Vitria de Santo Anto Way,452
431,1596 Acua Parkway,418
432,259 Ipoh Drive,189
433,1823 Hoshiarpur Lane,510
434,1404 Taguig Drive,547
435,740 Udaipur Lane,150
436,287 Cuautla Boulevard,501
437,1766 Almirante Brown Street,364
438,596 Huixquilucan Place,351
439,1351 Aparecida de Goinia Parkway,391
440,722 Bradford Lane,249
441,983 Santa F Way,565
442,1245 Ibirit Way,290
443,1836 Korla Parkway,272
444,231 Kaliningrad Place,70
445,495 Bhimavaram Lane,144
446,1924 Shimonoseki Drive,59
447,105 Dzerzinsk Manor,540
448,614 Denizli Parkway,486
449,1289 Belm Boulevard,530
450,203 Tambaram Street,161
451,1704 Tambaram Manor,554
452,207 Cuernavaca Loop,352
453,319 Springs Loop,160
454,956 Nam Dinh Manor,481
455,1947 Paarl Way,509
456,814 Simferopol Loop,154
457,535 Ahmadnagar Manor,3
458,138 Caracas Boulevard,326
459,251 Florencia Drive,556
460,659 Gatineau Boulevard,153
461,1889 Valparai Way,600
462,1485 Bratislava Place,435
463,935 Aden Boulevard,532
464,76 Kermanshah Manor,423
465,734 Tanshui Avenue,170
466,118 Jaffna Loop,182
467,1621 Tongliao Avenue,558
468,1844 Usak Avenue,196
469,1872 Toulon Loop,428
470,1088 Ibirit Place,595
471,1322 Mosul Parkway,145
472,1447 Chatsworth Place,129
473,1257 Guadalajara Street,78
474,1469 Plock Lane,388
475,434 Ourense (Orense) Manor,206
476,270 Tambaram Parkway,244
477,1786 Salinas Place,359
478,1078 Stara Zagora Drive,301
479,1854 Okara Boulevard,158
480,421 Yaound Street,385
481,1153 Allende Way,179
482,808 Naala-Porto Parkway,500
483,632 Usolje-Sibirskoje Parkway,36
484,98 Pyongyang Boulevard,11
485,984 Novoterkassk Loop,180
486,64 Korla Street,347
487,1785 So Bernardo do Campo Street,125
488,698 Jelets Boulevard,142
489,1297 Alvorada Parkway,587
490,1909 Dayton Avenue,469
491,1789 Saint-Denis Parkway,4
492,185 Mannheim Lane,408
493,184 Mandaluyong Street,288
494,591 Sungai Petani Drive,376
495,656 Matamoros Drive,487
496,775 ostka Drive,337
497,1013 Tabuk Boulevard,261
498,319 Plock Parkway,504
499,1954 Kowloon and New Kowloon Way,434
500,362 Rajkot Lane,47
501,1060 Tandil Lane,432
502,1515 Korla Way,589
503,1416 San Juan Bautista Tuxtepec Avenue,444
504,1 Valle de Santiago Avenue,93
505,519 Brescia Parkway,318
506,414 Mandaluyong Street,314
507,1197 Sokoto Boulevard,478
508,496 Celaya Drive,552
509,786 Matsue Way,245
510,48 Maracabo Place,519
511,1152 al-Qatif Lane,412
512,1269 Ipoh Avenue,163
513,758 Korolev Parkway,568
514,1747 Rustenburg Place,110
515,886 Tonghae Place,259
516,1574 Goinia Boulevard,502
517,548 Uruapan Street,312
519,962 Tama Loop,583
520,1778 Gijn Manor,594
521,568 Dhule (Dhulia) Loop,127
522,1768 Udine Loop,60
523,608 Birgunj Parkway,116
524,680 A Corua (La Corua) Manor,482
525,1949 Sanya Street,224
526,617 Klerksdorp Place,366
527,1993 0 Loop,588
528,1176 Southend-on-Sea Manor,458
529,600 Purnea (Purnia) Avenue,571
530,1003 Qinhuangdao Street,419
531,1986 Sivas Place,551
532,1427 Tabuk Place,101
533,556 Asuncin Way,339
534,486 Ondo Parkway,67
535,635 Brest Manor,75
536,166 Jinchang Street,165
537,958 Sagamihara Lane,287
538,1817 Livorno Way,100
539,1332 Gaziantep Lane,80
540,949 Allende Lane,24
541,195 Ilorin Street,363
542,193 Bhusawal Place,539
543,43 Vilnius Manor,42
544,183 Haiphong Street,46
545,163 Augusta-Richmond County Loop,561
546,191 Jos Azueta Parkway,436
547,379 Lublin Parkway,309
548,1658 Cuman Loop,396
549,454 Qinhuangdao Drive,68
550,1715 Okayama Street,485
551,182 Nukualofa Drive,275
552,390 Wroclaw Way,462
553,1421 Quilmes Lane,260
554,947 Trshavn Place,528
555,1764 Jalib al-Shuyukh Parkway,459
556,346 Cam Ranh Avenue,599
557,1407 Pachuca de Soto Place,21
558,904 Clarksville Drive,193
559,1917 Kumbakonam Parkway,368
560,1447 Imus Place,426
561,1497 Fengshan Drive,112
562,869 Shikarpur Way,496
563,1059 Yuncheng Avenue,570
564,505 Madiun Boulevard,577
565,1741 Hoshiarpur Boulevard,79
566,1229 Varanasi (Benares) Manor,43
567,1894 Boa Vista Way,178
568,1342 Sharja Way,488
569,1342 Abha Boulevard,95
570,415 Pune Avenue,580
571,1746 Faaa Way,214
572,539 Hami Way,538
573,1407 Surakarta Manor,466
574,502 Mandi Bahauddin Parkway,55
575,1052 Pathankot Avenue,299
576,1351 Sousse Lane,341
577,1501 Pangkal Pinang Avenue,409
578,1405 Hagonoy Avenue,133
579,521 San Juan Bautista Tuxtepec Place,598
580,923 Tangail Boulevard,10
581,186 Skikda Lane,131
582,1568 Celaya Parkway,168
583,1489 Kakamigahara Lane,526
584,1819 Alessandria Loop,103
585,1208 Tama Loop,344
586,951 Springs Lane,219
587,760 Miyakonojo Drive,246
588,966 Asuncin Way,212
589,1584 Ljubertsy Lane,494
590,247 Jining Parkway,54
591,773 Dallas Manor,424
592,1923 Stara Zagora Lane,546
593,1402 Zanzibar Boulevard,106
594,1464 Kursk Parkway,574
595,1074 Sanaa Parkway,311
596,1759 Niznekamsk Avenue,14
597,32 Liaocheng Way,248
598,42 Fontana Avenue,512
599,1895 Zhezqazghan Drive,177
600,1837 Kaduna Parkway,241
601,844 Bucuresti Place,242
602,1101 Bucuresti Boulevard,401
603,1103 Quilmes Boulevard,503
604,1331 Usak Boulevard,296
605,1325 Fukuyama Street,537
